ts,system_id,ship,pod,npc,jumps
2026-06-18T07:41:44.624440+00:00,30000121,0,0,183,49
2026-06-18T07:41:44.624440+00:00,30003138,0,0,1142,10
2026-06-18T07:41:44.624440+00:00,30022715,0,0,6,7
2026-06-18T07:41:44.624440+00:00,30003174,0,0,187,9
2026-06-18T07:41:44.624440+00:00,30004685,0,0,919,13
2026-06-18T07:41:44.624440+00:00,30004387,0,0,586,5
2026-06-18T07:41:44.624440+00:00,30004634,1,0,629,0
2026-06-18T07:41:44.624440+00:00,30000877,1,0,170,46
2026-06-18T07:41:44.624440+00:00,30002091,0,0,46,114
2026-06-18T07:41:44.624440+00:00,30001649,0,0,35,37
2026-06-18T07:41:44.624440+00:00,30001447,1,1,125,83
2026-06-18T07:41:44.624440+00:00,30000486,0,0,395,1
2026-06-18T07:41:44.624440+00:00,30001846,0,2,30,97
2026-06-18T07:41:44.624440+00:00,30002279,0,0,47,51
2026-06-18T07:41:44.624440+00:00,30000282,0,0,140,4
2026-06-18T07:41:44.624440+00:00,30004481,0,0,11,7
2026-06-18T07:41:44.624440+00:00,30002086,1,0,70,152
2026-06-18T07:41:44.624440+00:00,30005289,0,0,45,168
2026-06-18T07:41:44.624440+00:00,30004856,0,0,288,1
2026-06-18T07:41:44.624440+00:00,30004883,0,0,1145,5
2026-06-18T07:41:44.624440+00:00,30003011,0,0,85,18
2026-06-18T07:41:44.624440+00:00,30001030,0,0,22,6
2026-06-18T07:41:44.624440+00:00,30004600,0,0,364,178
2026-06-18T07:41:44.624440+00:00,30004670,0,0,139,4
2026-06-18T07:41:44.624440+00:00,30001159,0,0,116,51
2026-06-18T07:41:44.624440+00:00,30001302,0,0,146,21
2026-06-18T07:41:44.624440+00:00,30000214,0,0,35,33
2026-06-18T07:41:44.624440+00:00,30004347,0,0,249,4
2026-06-18T07:41:44.624440+00:00,30001319,0,0,128,7
2026-06-18T07:41:44.624440+00:00,30005051,0,0,123,18
2026-06-18T07:41:44.624440+00:00,30003675,0,0,904,23
2026-06-18T07:41:44.624440+00:00,30000284,1,0,18,6
2026-06-18T07:41:44.624440+00:00,30001259,0,0,1383,12
2026-06-18T07:41:44.624440+00:00,30004466,0,0,879,2
2026-06-18T07:41:44.624440+00:00,30004924,0,0,297,16
2026-06-18T07:41:44.624440+00:00,30000179,0,0,62,11
2026-06-18T07:41:44.624440+00:00,30001413,1,1,0,43
2026-06-18T07:41:44.624440+00:00,30004024,0,0,35,6
2026-06-18T07:41:44.624440+00:00,30002051,0,0,5,36
2026-06-18T07:41:44.624440+00:00,30000129,0,0,156,254
2026-06-18T07:41:44.624440+00:00,30004065,0,0,272,2
2026-06-18T07:41:44.624440+00:00,30003665,0,0,671,16
2026-06-18T07:41:44.624440+00:00,30002508,0,0,241,157
2026-06-18T07:41:44.624440+00:00,30001353,0,0,141,5
2026-06-18T07:41:44.624440+00:00,30003139,0,0,1540,7
2026-06-18T07:41:44.624440+00:00,30004763,2,0,198,9
2026-06-18T07:41:44.624440+00:00,30003954,0,0,101,13
2026-06-18T07:41:44.624440+00:00,30004702,2,1,1410,36
2026-06-18T07:41:44.624440+00:00,30003580,0,0,177,34
2026-06-18T07:41:44.624440+00:00,30002798,0,0,243,40
2026-06-18T07:41:44.624440+00:00,30002934,0,0,1214,4
2026-06-18T07:41:44.624440+00:00,30003367,0,0,11,5
2026-06-18T07:41:44.624440+00:00,30001991,0,0,319,7
2026-06-18T07:41:44.624440+00:00,30003121,0,1,1114,5
2026-06-18T07:41:44.624440+00:00,30001421,0,0,130,66
2026-06-18T07:41:44.624440+00:00,30002169,0,0,1820,22
2026-06-18T07:41:44.624440+00:00,30002680,0,0,129,82
2026-06-18T07:41:44.624440+00:00,30004090,0,0,61,162
2026-06-18T07:41:44.624440+00:00,30003045,0,0,70,58
2026-06-18T07:41:44.624440+00:00,30024971,0,0,51,3
2026-06-18T07:41:44.624440+00:00,30001252,0,0,102,36
2026-06-18T07:41:44.624440+00:00,30000112,0,0,3,33
2026-06-18T07:41:44.624440+00:00,30002050,0,0,147,83
2026-06-18T07:41:44.624440+00:00,30002152,0,0,294,1
2026-06-18T07:41:44.624440+00:00,30004091,0,0,11,11
2026-06-18T07:41:44.624440+00:00,30002696,0,0,8,8
2026-06-18T07:41:44.624440+00:00,30000894,0,0,971,21
2026-06-18T07:41:44.624440+00:00,30003836,2,2,3,164
2026-06-18T07:41:44.624440+00:00,30003461,0,0,59,64
2026-06-18T07:41:44.624440+00:00,30003614,1,0,224,58
2026-06-18T07:41:44.624440+00:00,30002390,2,2,0,34
2026-06-18T07:41:44.624440+00:00,30001184,0,0,14,12
2026-06-18T07:41:44.624440+00:00,30002467,0,0,13,1
2026-06-18T07:41:44.624440+00:00,30000783,0,0,255,30
2026-06-18T07:41:44.624440+00:00,30002695,0,0,114,22
2026-06-18T07:41:44.624440+00:00,30005299,0,0,10,28
2026-06-18T07:41:44.624440+00:00,30002322,0,0,97,1
2026-06-18T07:41:44.624440+00:00,30002084,0,0,76,67
2026-06-18T07:41:44.624440+00:00,30003888,0,0,23,99
2026-06-18T07:41:44.624440+00:00,30005314,2,1,89,10
2026-06-18T07:41:44.624440+00:00,30002645,0,0,71,23
2026-06-18T07:41:44.624440+00:00,30000232,0,0,454,27
2026-06-18T07:41:44.624440+00:00,30000264,0,0,379,19
2026-06-18T07:41:44.624440+00:00,30000809,0,0,11,6
2026-06-18T07:41:44.624440+00:00,30002025,0,0,156,12
2026-06-18T07:41:44.624440+00:00,30001440,1,1,50,253
2026-06-18T07:41:44.624440+00:00,30001540,1,1,952,101
2026-06-18T07:41:44.624440+00:00,30045347,0,0,194,87
2026-06-18T07:41:44.624440+00:00,30100084,0,0,32,13
2026-06-18T07:41:44.624440+00:00,30021407,0,0,156,55
2026-06-18T07:41:44.624440+00:00,30002773,0,0,103,194
2026-06-18T07:41:44.624440+00:00,30014971,3,0,183,49
2026-06-18T07:41:44.624440+00:00,30001387,0,0,126,40
2026-06-18T07:41:44.624440+00:00,30002154,0,0,855,10
2026-06-18T07:41:44.624440+00:00,30003378,0,0,18,17
2026-06-18T07:41:44.624440+00:00,30045313,0,0,66,14
2026-06-18T07:41:44.624440+00:00,30005246,0,0,39,85
2026-06-18T07:41:44.624440+00:00,30004159,0,0,26,4
2026-06-18T07:41:44.624440+00:00,30001676,0,0,5,7
2026-06-18T07:41:44.624440+00:00,30003036,0,0,122,28
2026-06-18T07:41:44.624440+00:00,30044971,0,0,58,3
2026-06-18T07:41:44.624440+00:00,30002713,0,0,46,23
2026-06-18T07:41:44.624440+00:00,30004976,0,0,47,52
2026-06-18T07:41:44.624440+00:00,30004337,0,0,7,18
2026-06-18T07:41:44.624440+00:00,30002705,0,0,116,12
2026-06-18T07:41:44.624440+00:00,30001185,0,0,1422,10
2026-06-18T07:41:44.624440+00:00,30003317,0,0,46,3
2026-06-18T07:41:44.624440+00:00,30002492,1,1,30,5
2026-06-18T07:41:44.624440+00:00,30002748,0,0,103,41
2026-06-18T07:41:44.624440+00:00,30001675,0,0,72,84
2026-06-18T07:41:44.624440+00:00,30003393,0,0,62,24
2026-06-18T07:41:44.624440+00:00,30001660,0,0,94,18
2026-06-18T07:41:44.624440+00:00,30000189,0,0,218,74
2026-06-18T07:41:44.624440+00:00,30003497,0,0,65,9
2026-06-18T07:41:44.624440+00:00,30004668,0,0,13,25
2026-06-18T07:41:44.624440+00:00,30002159,0,0,3,22
2026-06-18T07:41:44.624440+00:00,30005017,0,0,68,8
2026-06-18T07:41:44.624440+00:00,30000289,0,0,205,17
2026-06-18T07:41:44.624440+00:00,30001438,0,0,44,159
2026-06-18T07:41:44.624440+00:00,30002816,0,0,210,26
2026-06-18T07:41:44.624440+00:00,30001420,0,0,39,24
2026-06-18T07:41:44.624440+00:00,30002535,0,0,218,9
2026-06-18T07:41:44.624440+00:00,30001710,0,0,24,4
2026-06-18T07:41:44.624440+00:00,30000826,0,0,14,9
2026-06-18T07:41:44.624440+00:00,30003487,0,0,81,59
2026-06-18T07:41:44.624440+00:00,30003410,0,0,37,149
2026-06-18T07:41:44.624440+00:00,30003904,0,0,3,28
2026-06-18T07:41:44.624440+00:00,30045320,0,0,62,39
2026-06-18T07:41:44.624440+00:00,30002018,0,0,1,4
2026-06-18T07:41:44.624440+00:00,30000843,0,0,66,3
2026-06-18T07:41:44.624440+00:00,30005076,0,0,39,16
2026-06-18T07:41:44.624440+00:00,30004991,1,0,66,48
2026-06-18T07:41:44.624440+00:00,30004720,0,0,3,180
2026-06-18T07:41:44.624440+00:00,30002662,0,0,76,126
2026-06-18T07:41:44.624440+00:00,30001081,0,0,64,9
2026-06-18T07:41:44.624440+00:00,30000071,0,0,26,2
2026-06-18T07:41:44.624440+00:00,30005119,0,0,32,10
2026-06-18T07:41:44.624440+00:00,30004770,0,0,58,3
2026-06-18T07:41:44.624440+00:00,30002560,0,0,1,8
